datum,tag,warengruppe,name,kennz,preis,stud,bed,gast
24.10.2019,Do,Suppe,Brühe mit Tiroler Suppenknödel (2;3;AA;C;G;I;P),R;S,0;70 / 0;90 / 1;40,0;70,0;90,1;40
24.10.2019,Do,HG1,Hähnchen-Kürbisschnitzel mit Kartoffel-Vogerlsalat (3;AA;C;J),G,0;00 / 0;00 / 0;00,0;00,0;00,0;00
24.10.2019,Do,HG2,Spiegeleier mit Spinat und Kartoffeln (3;A;AA;G;I),V,2;00 / 2;80 / 3;60,2;00,2;80,3;60
24.10.2019,Do,HG3,Veganer Lahmacun (1;3;AA;F;L),VG,3;10 / 3;90 / 4;60,3;10,3;90,4;60
24.10.2019,Do,HG4,Biftekis Griechische Art; Paprikareis und Krautsalat (3;6;16;AA;C;G;I;J),S;R,3;10 / 3;90 / 4;60,3;10,3;90,4;60
24.10.2019,Do,B1,Karotten-Kohlrabi-Gemüse (3;A;AA;G;I),V,0;80 / 1;00 / 1;50,0;80,1;00,1;50
24.10.2019,Do,B2,Bio-Nudeln (AA),B;VG,0;80 / 1;00 / 1;50,0;80,1;00,1;50
24.10.2019,Do,B3,Bio-Paprikareis (3),B;VG,0;80 / 1;00 / 1;50,0;80,1;00,1;50
24.10.2019,Do,B4,Kartoffel-Vogerlsalat (3;J),VG,1;00 / 1;10 / 1;60,1;00,1;10,1;60
24.10.2019,Do,B5,Potato Dips Onion-Pepper (8),VG,1;00 / 1;10 / 1;60,1;00,1;10,1;60
24.10.2019,Do,B6,Salat Buffet (1;3;6;9;16;C;G;J;L),V,3;00 / 3;50 / 4;20,3;00,3;50,4;20
24.10.2019,Do,N1,Mango Joghurt (G),V,0;80 / 1;00 / 1;50,0;80,1;00,1;50
24.10.2019,Do,N2,Kokos-Sahnepudding - vegan,VG,0;90 / 1;10 / 1;50,0;90,1;10,1;50
24.10.2019,Do,N3,Cheescake-Creme (3;8;AA;C;F;G),V,1;10 / 1;40 / 1;60,1;10,1;40,1;60
25.10.2019,Fr,Suppe,Brühe mit Eifäden (C;I),G,0;70 / 0;90 / 1;40,0;70,0;90,1;40
25.10.2019,Fr,HG1,Bio-Sauerbraten mit Spätzle (3;AA;C;G;I),R;BL;B,0;00 / 0;00 / 0;00,0;00,0;00,0;00
25.10.2019,Fr,HG2,Pasta Ratatouille (3;AA),VG,2;00 / 2;80 / 3;60,2;00,2;80,3;60
25.10.2019,Fr,HG3,Kaiserschmarrn mit Apfelmus (3;A;AA;C;G;H;HA),V,2;50 / 3;10 / 4;20,2;50,3;10,4;20
25.10.2019,Fr,HG4,Fisch und Chips (3;8;9;A;AA;C;D;F;G;J),F,3;10 / 3;90 / 4;60,3;10,3;90,4;60
25.10.2019,Fr,B1,Rosenkohl mit Semmelbröseln (3;AA;I),VG,0;80 / 1;00 / 1;50,0;80,1;00,1;50
25.10.2019,Fr,B2,Salatmix (3),V,0;90 / 1;10 / 1;60,0;90,1;10,1;60
25.10.2019,Fr,B3,Country Kartoffeln (8;A;AA),VG,1;00 / 1;10 / 1;60,1;00,1;10,1;60
25.10.2019,Fr,B4,Spätzle (AA;C),V,1;00 / 1;10 / 1;60,1;00,1;10,1;60
25.10.2019,Fr,B5,Salat Buffet (1;3;6;9;16;C;G;J;L),V,3;00 / 3;50 / 4;20,3;00,3;50,4;20
25.10.2019,Fr,N1,Beerenjoghurt (G),V,0;80 / 1;00 / 1;50,0;80,1;00,1;50
25.10.2019,Fr,N2,Schoko-Trüffel Creme (AC;F;G;HB),V,1;10 / 1;40 / 1;60,1;10,1;40,1;60
